case_name,dice,hd95,mse
data_05402_8c18_extra_0.2_generate,0.3362346263008515,29.527205671262863,0.01212310791015625
data_05402_8c18_extra_0.24_generate,0.2060654068122666,29.896078054371138,0.019025802612304688
data_05402_8c18_extra_0.3_generate,0.24721030042918454,25.52204453465815,0.016736984252929688
data_05402_8c18_extra_0.35_generate,0.08383160661040076,30.04434001210576,0.023271560668945312
data_05402_8c18_extra_0.4_generate,0.061258657337188396,31.945218719101973,0.02474212646484375
data_05402_8c18_extra_0.45_generate,0.1164972378439183,27.881313602237533,0.023365020751953125
data_05402_8c18_extra_0.5_generate,0.07893942575063552,23.5,0.023670196533203125
data_05402_8c18_extra_0.55_generate,0.09180982230159838,23.17261752992875,0.024026870727539062
data_05402_8c18_extra_0.6_generate,0.09987060921944385,20.32725381963452,0.02341461181640625
data_05402_8c18_extra_0.65_generate,0.12050196101762209,19.394418853740802,0.02329254150390625
data_05402_8c18_extra_0.7_generate,0.07877333747645396,18.5,0.023733139038085938
data_03880_698f_extra_0.24_generate,0.23529850746268657,34.782735282087074,0.024776458740234375
data_03880_698f_extra_0.28_generate,0.1324658421578776,41.36724098791038,0.028356552124023438
data_03880_698f_extra_0.33_generate,0.17041774611398963,31.475886208239984,0.02896881103515625
data_03880_698f_extra_0.38_generate,0.17302881123396013,31.5,0.02822113037109375
data_03880_698f_extra_0.43_generate,0.15187882800860786,28.086813658388508,0.028337478637695312
data_03880_698f_extra_0.48_generate,0.12060142253373057,26.461302295625195,0.03185462951660156
data_03880_698f_extra_0.53_generate,0.06497148568655661,25.790477500125967,0.034572601318359375
data_03880_698f_extra_0.58_generate,0.06334277893899652,23.4730412511347,0.03317451477050781
data_03880_698f_extra_0.63_generate,0.04746773241281629,23.396628509916027,0.03409767150878906
data_03880_698f_extra_0.68_generate,0.055627425273296144,25.320148486773082,0.036441802978515625
data_03880_698f_extra_0.73_generate,0.053155006901979114,26.926252307802578,0.03526878356933594
data_03880_698f_extra_0.78_generate,0.09120245939402982,29.5,0.035675048828125
data_02208_80d0_extra_0.2_generate,0.32062408581179913,29.137637482470417,0.013950347900390625
data_02208_80d0_extra_0.26_generate,0.29074620787946653,27.37301325276728,0.01495361328125
data_02208_80d0_extra_0.31_generate,0.1903544450900639,29.505843775365275,0.019962310791015625
data_02208_80d0_extra_0.36_generate,0.24526053515328783,24.82482771731451,0.01700592041015625
data_02208_80d0_extra_0.41_generate,0.260089209855565,24.021790472318443,0.0174102783203125
data_02208_80d0_extra_0.46_generate,0.2111639492753623,22.42838827718412,0.019445419311523438
data_02208_80d0_extra_0.51_generate,0.1783229154381413,22.338942429274436,0.021808624267578125
data_02208_80d0_extra_0.56_generate,0.15958986731001207,19.603982401499106,0.021694183349609375
data_02208_80d0_extra_0.61_generate,0.19827387802071347,18.780109889280517,0.020427703857421875
data_02208_80d0_extra_0.66_generate,0.09194588294873922,18.219544457292887,0.02374267578125
data_02208_80d0_extra_0.72_generate,0.13268104926809166,19.938592044035186,0.02197265625
data_02208_80d0_extra_0.76_generate,0.09249921383405363,19.746049174954216,0.024595260620117188
data_02208_80d0_extra_0.81_generate,0.06736541558162472,20.494030650891034,0.0240325927734375
data_02208_80d0_extra_0.86_generate,0.11718901869305391,21.77032961426901,0.02375030517578125
data_03903_3185_extra_0.2_generate,0.2844534338512458,31.913166362269298,0.0178070068359375
data_03903_3185_extra_0.25_generate,0.1907881056352672,32.98853620760289,0.021793365478515625
data_03903_3185_extra_0.3_generate,0.20026715988491575,31.321074345790088,0.022588729858398438
data_03903_3185_extra_0.35_generate,0.14406686462113713,28.864763921298962,0.02405548095703125
data_03903_3185_extra_0.4_generate,0.18918637358058132,24.811592681894822,0.022413253784179688
data_03903_3185_extra_0.45_generate,0.09614925629274446,25.394896336166894,0.025421142578125
data_03903_3185_extra_0.5_generate,0.1424529937552053,22.513878188659973,0.02596282958984375
data_03903_3185_extra_0.55_generate,0.0844020048679457,21.22499836407225,0.026458740234375
